lat_bin,lon_bin,center_lat,center_lon,fire_count,max_conf,mean_conf,max_frp,mean_frp,risk_class,risk_code,clc_code,lc_group,burnable,label,pred_label,pred_proba_high,dist_to_road_m,slope_deg,ground_access_class,ground_access_score,road_dist_class,slope_class,ground_access_score_v1,ground_access_class_v1,ground_reason_v1,air_access_score_v1,air_access_class_v1,air_reason_v1
42,22,38.7608,26.945,0,0.0,0.0,0.0,0.0,NO_FIRE,0,18,OTHER,1,0,0,0.0,21.664017543880306,2.7246878147125244,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
42,23,38.7608,26.975,0,0.0,0.0,0.0,0.0,NO_FIRE,0,20,OTHER,1,0,0,0.0,200.3040983093974,27.874462127685547,LOW,1,NEAR,HIGH,3,HIGH,"ground: dist<=250m, slope>20° => score=max(road,slope)=3",3,HIGH,air(v1): slope>20° => score=3 (slope-based; no landing/base data)
42,24,38.7608,27.005,0,0.0,0.0,0.0,0.0,NO_FIRE,0,24,OTHER,1,0,0,0.0,70.84140116099005,7.7244873046875,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
42,25,38.7608,27.035,0,0.0,0.0,0.0,0.0,NO_FIRE,0,26,OTHER,1,0,0,0.0,375.1976921167813,8.697671890258789,MEDIUM,2,MID,LOW,2,MEDIUM,"ground: 250m<dist<=1000m, slope<=10° => score=max(road,slope)=2",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
42,26,38.7608,27.065,0,0.0,0.0,0.0,0.0,NO_FIRE,0,26,OTHER,1,0,0,0.0,133.36751439737895,15.058188438415527,MEDIUM,2,NEAR,MEDIUM,2,MEDIUM,"ground: dist<=250m, 10°<slope<=20° => score=max(road,slope)=2",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
42,27,38.7608,27.095,0,0.0,0.0,0.0,0.0,NO_FIRE,0,23,OTHER,1,0,0,0.0,450.5807069138135,14.276144981384276,MEDIUM,2,MID,MEDIUM,2,MEDIUM,"ground: 250m<dist<=1000m, 10°<slope<=20° => score=max(road,slope)=2",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
42,28,38.7608,27.125,0,0.0,0.0,0.0,0.0,NO_FIRE,0,20,OTHER,1,0,0,0.0,46.95426184790853,3.1968741416931152,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
42,29,38.7608,27.155,0,0.0,0.0,0.0,0.0,NO_FIRE,0,21,OTHER,1,0,0,0.0,49.523343701947056,7.6541748046875,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
42,30,38.7608,27.185,0,0.0,0.0,0.0,0.0,NO_FIRE,0,18,OTHER,1,0,0,0.0,413.4150019646539,8.443248748779297,MEDIUM,2,MID,LOW,2,MEDIUM,"ground: 250m<dist<=1000m, slope<=10° => score=max(road,slope)=2",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
43,22,38.7808,26.945,10,78.0,37.1,37.2,16.6,LOW,1,2,OTHER,1,0,0,0.025,3.725855920656606,3.806589126586914,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
43,23,38.7808,26.975,0,0.0,0.0,0.0,0.0,NO_FIRE,0,20,OTHER,1,0,0,0.0,4.79648843137856,3.7879528999328618,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
43,24,38.7808,27.005,1,51.0,51.0,13.5,13.5,LOW,1,18,OTHER,1,0,0,0.015,219.75565838738075,5.854039669036865,MEDIUM,2,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
