id,risk_class,lat_bin,lon_bin,center_lat,center_lon
406,LOW,35,24,38.6208,27.005
407,HIGH,35,29,38.6208,27.155
408,HIGH,35,30,38.6208,27.185
409,LOW,35,31,38.6208,27.215
410,LOW,36,3,38.6408,26.375
411,HIGH,36,6,38.6408,26.465
412,LOW,36,7,38.6408,26.495
413,LOW,36,16,38.6408,26.765
414,HIGH,36,17,38.6408,26.795
415,HIGH,36,18,38.6408,26.825
416,LOW,36,20,38.6408,26.885
417,LOW,36,23,38.6408,26.975
418,LOW,36,24,38.6408,27.005
419,LOW,36,26,38.6408,27.065
420,HIGH,36,27,38.6408,27.095
421,LOW,36,30,38.6408,27.185
422,LOW,36,31,38.6408,27.215
423,HIGH,37,6,38.6608,26.465
424,LOW,37,17,38.6608,26.795
425,LOW,37,18,38.6608,26.825
426,LOW,37,19,38.6608,26.855
427,LOW,37,20,38.6608,26.885
428,LOW,37,21,38.6608,26.915
429,HIGH,37,22,38.6608,26.945
430,LOW,37,23,38.6608,26.975
431,HIGH,37,26,38.6608,27.065
432,LOW,37,27,38.6608,27.095
433,LOW,37,29,38.6608,27.155
434,LOW,37,30,38.6608,27.185
435,LOW,38,19,38.6808,26.855
436,LOW,38,20,38.6808,26.885
437,HIGH,38,21,38.6808,26.915
438,LOW,38,30,38.6808,27.185
439,LOW,39,17,38.7008,26.795
440,HIGH,39,18,38.7008,26.825
441,HIGH,39,21,38.7008,26.915
442,HIGH,39,22,38.7008,26.945
443,HIGH,39,23,38.7008,26.975
444,LOW,40,20,38.7208,26.885
445,HIGH,40,21,38.7208,26.915
446,HIGH,40,22,38.7208,26.945
447,HIGH,40,23,38.7208,26.975
448,HIGH,40,24,38.7208,27.005
449,LOW,41,18,38.7408,26.825
450,LOW,41,21,38.7408,26.915
451,HIGH,41,22,38.7408,26.945
452,HIGH,41,26,38.7408,27.065
453,HIGH,41,27,38.7408,27.095
454,LOW,43,22,38.7808,26.945
455,LOW,43,24,38.7808,27.005
456,HIGH,44,21,38.8008,26.915
457,HIGH,44,22,38.8008,26.945
458,HIGH,44,24,38.8008,27.005
459,HIGH,44,25,38.8008,27.035
460,LOW,45,25,38.8208,27.035
461,HIGH,45,26,38.8208,27.065
462,HIGH,45,27,38.8208,27.095
463,HIGH,46,25,38.8408,27.035
464,HIGH,46,26,38.8408,27.065
465,HIGH,46,27,38.8408,27.095
466,HIGH,47,26,38.8608,27.065
467,HIGH,47,28,38.8608,27.125
468,HIGH,48,27,38.8808,27.095
469,HIGH,48,28,38.8808,27.125
470,HIGH,48,29,38.8808,27.155
471,LOW,49,27,38.9008,27.095
472,LOW,49,28,38.9008,27.125
473,LOW,49,29,38.9008,27.155
474,LOW,50,28,38.9208,27.125
475,LOW,51,19,38.9408,26.855
476,LOW,51,21,38.9408,26.915
477,LOW,51,22,38.9408,26.945
478,HIGH,51,23,38.9408,26.975
479,LOW,51,28,38.9408,27.125
480,HIGH,52,22,38.9608,26.945
481,HIGH,52,23,38.9608,26.975
482,LOW,52,24,38.9608,27.005
483,LOW,53,23,38.9808,26.975
484,LOW,53,24,38.9808,27.005
485,LOW,53,28,38.9808,27.125
486,HIGH,54,23,39.0008,26.975
487,LOW,54,28,39.0008,27.125
488,LOW,54,29,39.0008,27.155
489,LOW,55,21,39.0208,26.915
490,LOW,55,22,39.0208,26.945
491,LOW,56,21,39.0408,26.915
492,LOW,56,22,39.0408,26.945
493,LOW,56,23,39.0408,26.975
494,HIGH,56,24,39.0408,27.005
495,LOW,56,25,39.0408,27.035
496,LOW,56,30,39.0408,27.185
497,LOW,56,32,39.0408,27.245
498,LOW,56,34,39.0408,27.305
499,LOW,57,23,39.0608,26.975
500,HIGH,57,24,39.0608,27.005
501,LOW,57,27,39.0608,27.095
502,HIGH,57,29,39.0608,27.155
503,LOW,57,31,39.0608,27.215
504,HIGH,57,32,39.0608,27.245
505,HIGH,57,33,39.0608,27.275
506,LOW,57,34,39.0608,27.305
507,LOW,58,21,39.0808,26.915
508,LOW,58,24,39.0808,27.005
509,LOW,58,25,39.0808,27.035
510,LOW,58,26,39.0808,27.065
511,LOW,58,29,39.0808,27.155
512,LOW,58,32,39.0808,27.245
513,LOW,58,33,39.0808,27.275
514,LOW,58,38,39.0808,27.425
515,HIGH,58,39,39.0808,27.455
516,LOW,58,40,39.0808,27.485
517,LOW,59,31,39.1008,27.215
518,LOW,59,32,39.1008,27.245
519,LOW,59,38,39.1008,27.425
520,LOW,59,39,39.1008,27.455
521,LOW,59,40,39.1008,27.485
522,LOW,60,21,39.1208,26.915
523,LOW,60,25,39.1208,27.035
524,LOW,60,30,39.1208,27.185
525,LOW,60,31,39.1208,27.215
526,LOW,60,32,39.1208,27.245
527,HIGH,60,33,39.1208,27.275
528,LOW,60,34,39.1208,27.305
529,LOW,60,36,39.1208,27.365
530,LOW,60,38,39.1208,27.425
531,LOW,60,39,39.1208,27.455
532,LOW,61,20,39.1408,26.885
533,LOW,61,32,39.1408,27.245
534,LOW,61,33,39.1408,27.275
535,LOW,61,35,39.1408,27.335
536,LOW,61,36,39.1408,27.365
537,LOW,61,37,39.1408,27.395
538,LOW,61,38,39.1408,27.425
539,LOW,62,33,39.1608,27.275
540,HIGH,62,38,39.1608,27.425
541,LOW,63,18,39.1808,26.825
542,HIGH,63,19,39.1808,26.855
543,HIGH,63,39,39.1808,27.455
544,LOW,64,36,39.2008,27.365
545,LOW,66,29,39.2408,27.155
546,LOW,67,23,39.2608,26.975
547,HIGH,69,27,39.3008,27.095
548,LOW,69,28,39.3008,27.125
549,LOW,71,30,39.3408,27.185
550,LOW,71,31,39.3408,27.215
551,HIGH,71,33,39.3408,27.275
552,LOW,72,34,39.3608,27.305
553,LOW,72,35,39.3608,27.335
