risk_id,risk_class,center_lat,center_lon,station_id,station_name,station_lat,station_lon,distance_km
221,LOW,38.2608,27.215,35,Kısıkköy İtfaiye Müdürlüğü,38.2751599,27.1971095,2.2336
222,LOW,38.2608,27.245,35,Kısıkköy İtfaiye Müdürlüğü,38.2751599,27.1971095,4.4755
223,LOW,38.2608,27.275,34,Kırklar İtfaiye Grubu,38.3092428,27.305661,6.0147
224,LOW,38.2608,27.755,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,10.957
225,HIGH,38.2608,27.875,40,Ödemiş İtfaiyesi,38.2203779,27.9772609,9.9982
226,HIGH,38.2608,27.905,40,Ödemiş İtfaiyesi,38.2203779,27.9772609,7.7479
227,HIGH,38.2608,27.935,40,Ödemiş İtfaiyesi,38.2203779,27.9772609,5.8159
228,HIGH,38.2608,28.055,8,Birgi İtfaiye Grubu,38.2530136,28.0658716,1.2848
229,LOW,38.2608,28.385,7,Beydağ İtfaiye Grubu,38.0858461,28.2110254,24.6929
230,LOW,38.2808,26.285,13,Çeşme İtfaiye Grubu,38.3371806,26.3030841,6.4648
231,LOW,38.2808,26.405,24,Ilıca İtfaiye Grubu,38.305354,26.361923,4.6462
232,HIGH,38.2808,26.435,24,Ilıca İtfaiye Grubu,38.305354,26.361923,6.9374
233,HIGH,38.2808,26.465,24,Ilıca İtfaiye Grubu,38.305354,26.361923,9.4009
234,HIGH,38.2808,26.495,24,Ilıca İtfaiye Grubu,38.305354,26.361923,11.9304
235,LOW,38.2808,26.585,47,Urla İtfaiye Grubu,38.3274799,26.7704619,16.9951
236,HIGH,38.2808,26.615,47,Urla İtfaiye Grubu,38.3274799,26.7704619,14.5245
237,HIGH,38.2808,26.765,47,Urla İtfaiye Grubu,38.3274799,26.7704619,5.2124
238,HIGH,38.2808,27.005,36,Menderes İtfaiye Grubu,38.2552038,27.1283411,11.1377
239,HIGH,38.2808,27.035,36,Menderes İtfaiye Grubu,38.2552038,27.1283411,8.6316
240,HIGH,38.2808,27.065,36,Menderes İtfaiye Grubu,38.2552038,27.1283411,6.2193
241,LOW,38.2808,27.125,36,Menderes İtfaiye Grubu,38.2552038,27.1283411,2.8611
242,LOW,38.2808,27.155,36,Menderes İtfaiye Grubu,38.2552038,27.1283411,3.6766
243,HIGH,38.2808,27.185,35,Kısıkköy İtfaiye Müdürlüğü,38.2751599,27.1971095,1.2291
244,HIGH,38.2808,27.215,35,Kısıkköy İtfaiye Müdürlüğü,38.2751599,27.1971095,1.6829
245,HIGH,38.2808,27.245,35,Kısıkköy İtfaiye Müdürlüğü,38.2751599,27.1971095,4.2271
246,HIGH,38.2808,27.335,34,Kırklar İtfaiye Grubu,38.3092428,27.305661,4.0692
247,LOW,38.2808,27.365,34,Kırklar İtfaiye Grubu,38.3092428,27.305661,6.0679
248,LOW,38.2808,27.755,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,12.0733
249,HIGH,38.2808,27.785,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,14.3018
250,LOW,38.2808,27.815,40,Ödemiş İtfaiyesi,38.2203779,27.9772609,15.6812
251,HIGH,38.2808,27.875,40,Ödemiş İtfaiyesi,38.2203779,27.9772609,11.1749
252,HIGH,38.2808,27.905,40,Ödemiş İtfaiyesi,38.2203779,27.9772609,9.2172
253,HIGH,38.2808,27.935,40,Ödemiş İtfaiyesi,38.2203779,27.9772609,7.6654
254,LOW,38.2808,27.995,40,Ödemiş İtfaiyesi,38.2203779,27.9772609,6.8949
255,HIGH,38.2808,28.205,8,Birgi İtfaiye Grubu,38.2530136,28.0658716,12.5331
256,LOW,38.3008,26.315,24,Ilıca İtfaiye Grubu,38.305354,26.361923,4.1257
257,LOW,38.3008,26.405,24,Ilıca İtfaiye Grubu,38.305354,26.361923,3.7928
258,LOW,38.3008,26.435,24,Ilıca İtfaiye Grubu,38.305354,26.361923,6.3967
259,HIGH,38.3008,26.465,24,Ilıca İtfaiye Grubu,38.305354,26.361923,9.0087
260,HIGH,38.3008,26.495,24,Ilıca İtfaiye Grubu,38.305354,26.361923,11.6233
261,HIGH,38.3008,26.675,47,Urla İtfaiye Grubu,38.3274799,26.7704619,8.8413
262,LOW,38.3008,26.705,47,Urla İtfaiye Grubu,38.3274799,26.7704619,6.4358
263,HIGH,38.3008,26.795,47,Urla İtfaiye Grubu,38.3274799,26.7704619,3.6585
264,LOW,38.3008,26.855,22,Güzelbahçe İtfaiye Grubu,38.3674545,26.8845373,7.8466
265,HIGH,38.3008,27.005,39,Narlıdere İtfaiye,38.3937204,27.016462,10.3805
266,HIGH,38.3008,27.035,20,Gaziemir İtfaiye Grubu,38.3139969,27.1277295,8.223
267,LOW,38.3008,27.065,20,Gaziemir İtfaiye Grubu,38.3139969,27.1277295,5.6667
268,HIGH,38.3008,27.095,20,Gaziemir İtfaiye Grubu,38.3139969,27.1277295,3.2107
269,HIGH,38.3008,27.125,20,Gaziemir İtfaiye Grubu,38.3139969,27.1277295,1.4866
270,HIGH,38.3008,27.185,35,Kısıkköy İtfaiye Müdürlüğü,38.2751599,27.1971095,3.0406
