grid_id,latitude,longitude,burnable,lc_group,clc_code,fire_probability,high_fire_probability,combined_risk_score,predicted_risk_class
135,37.9408,28.175,0,NO_DATA,-128,0.0129899150821325,0.1159563379371878,0.0015062629830391,SAFE_UNBURNABLE
136,37.9408,28.205,0,NO_DATA,-128,0.0125433756333814,0.1153368283755165,0.0014467131626769,SAFE_UNBURNABLE
137,37.9408,28.235,0,NO_DATA,-128,0.0121119979921806,0.1147201991077088,0.0013894908212551,SAFE_UNBURNABLE
138,37.9408,28.265,0,NO_DATA,-128,0.0116952800959818,0.1141064413274269,0.0013345067920799,SAFE_UNBURNABLE
139,37.9408,28.295,0,NO_DATA,-128,0.0112927356446142,0.1134955462052881,0.0012816752001374,SAFE_UNBURNABLE
140,37.9408,28.325,0,NO_DATA,-128,0.0109038936643368,0.1128875048895314,0.0012309133493477,SAFE_UNBURNABLE
141,37.9408,28.355,0,NO_DATA,-128,0.0105282980798005,0.1122823085066802,0.0011821416130464,SAFE_UNBURNABLE
142,37.9408,28.385,0,NO_DATA,-128,0.0101655072941025,0.1116799481621996,0.0011352833276478,SAFE_UNBURNABLE
143,37.9608,26.285,0,NO_DATA,-128,0.1073934544410481,0.1614023697433574,0.0173335580417104,SAFE_UNBURNABLE
144,37.9608,26.315,0,NO_DATA,-128,0.1040437994023477,0.1605841637817197,0.0167077865236989,SAFE_UNBURNABLE
145,37.9608,26.345,0,NO_DATA,-128,0.1007868249136123,0.1597693153639101,0.0161026420141501,SAFE_UNBURNABLE
146,37.9608,26.375,0,NO_DATA,-128,0.0976206975470714,0.1589578187230965,0.0155175731443096,SAFE_UNBURNABLE
147,37.9608,26.405,0,NO_DATA,-128,0.0945435738542151,0.1581496680173117,0.0149520348182143,SAFE_UNBURNABLE
148,37.9608,26.435,0,NO_DATA,-128,0.0915536039721102,0.1573448573303998,0.0144054887550756,SAFE_UNBURNABLE
149,37.9608,26.465,0,NO_DATA,-128,0.0886489350205893,0.1565433806729572,0.0138774039811803,SAFE_UNBURNABLE
150,37.9608,26.495,0,NO_DATA,-128,0.0858277142938072,0.1557452319832749,0.0133672572732832,SAFE_UNBURNABLE
151,37.9608,26.525,0,NO_DATA,-128,0.0830880922502354,0.1549504051282744,0.0128745335555094,SAFE_UNBURNABLE
152,37.9608,26.555,0,NO_DATA,-128,0.0804282253057925,0.1541588939044417,0.0123987262518382,SAFE_UNBURNABLE
153,37.9608,26.585,0,NO_DATA,-128,0.0778462784352425,0.1533706920387597,0.0119393375962551,SAFE_UNBURNABLE
154,37.9608,26.615,0,NO_DATA,-128,0.0753404275874169,0.1525857931896367,0.0114958789026724,SAFE_UNBURNABLE
155,37.9608,26.645,0,NO_DATA,-128,0.0729088619201593,0.1518041909478296,0.0110678707967168,SAFE_UNBURNABLE
156,37.9608,26.675,0,NO_DATA,-128,0.0705497858611674,0.1510258788373687,0.0106548434114709,SAFE_UNBURNABLE
157,37.9608,26.705,0,NO_DATA,-128,0.0682614210011153,0.1502508503164743,0.0102563365492284,SAFE_UNBURNABLE
158,37.9608,26.735,0,NO_DATA,-128,0.0660420078255951,0.1494790987784725,0.0098718998112907,SAFE_UNBURNABLE
159,37.9608,26.765,0,NO_DATA,-128,0.0638898072925609,0.1487106175527082,0.0095010926978002,SAFE_UNBURNABLE
