center_lat,center_lon,burnable,lc_group,clc_code,fire_prob,high_given_fire_prob,high_risk_score,predicted_risk
38.1608,27.305,1,OTHER,28,0.6346518282747673,0.19118615488267587,0.12133664273711307,LOW_RISK
38.1608,27.335,1,OTHER,13,0.8580261580363503,0.08415454868737804,0.07220680409151396,LOW_RISK
38.1608,27.365,1,OTHER,13,0.8536548194640842,0.10949026427049224,0.09346689177890193,LOW_RISK
38.1608,27.395,1,OTHER,13,0.8491725477062627,0.0832255131730344,0.07067282105530674,LOW_RISK
38.1608,27.425,1,OTHER,13,0.8445779872889472,0.08276450045027428,0.06990107520926782,LOW_RISK
38.1608,27.455,1,OTHER,13,0.8398698584621975,0.08230581215958976,0.06912617080909086,LOW_RISK
38.1608,27.485,1,OTHER,13,0.8350469635143724,0.12036297703156984,0.10050873848976254,LOW_RISK
38.1608,27.515,1,OTHER,13,0.8301081932063746,0.08139537214739778,0.06756696530863684,LOW_RISK
38.1608,27.545,1,OTHER,13,0.8250525333063048,0.08094360208260343,0.06678272395318945,LOW_RISK
38.1608,27.575,1,OTHER,13,0.8198790712029024,0.08049411976401732,0.06599544414941771,LOW_RISK
38.1608,27.605,1,OTHER,13,0.8145870025740491,0.08004691604181646,0.06520517740379984,LOW_RISK
38.1608,27.635,1,OTHER,13,0.8091756380844811,0.07960198177552547,0.06441198439600006,LOW_RISK
38.1608,27.665,1,OTHER,20,0.6843233967792848,0.12676930202536052,0.08675119936933377,LOW_RISK
38.1608,27.695,1,OTHER,20,0.6766194953872872,0.1261002632602899,0.08532189649538141,LOW_RISK
38.1608,27.725,1,OTHER,13,0.7922207413471287,0.07828070445465196,0.06201559771623986,LOW_RISK
38.1608,27.755,1,OTHER,20,0.6609237722187319,0.12477124860104205,0.08246428428984189,LOW_RISK
38.1608,27.785,1,OTHER,13,0.7803141405619088,0.07741103306266506,0.06040492373430299,LOW_RISK
38.1608,27.815,1,OTHER,13,0.7741798018305043,0.07697952414735842,0.059595992749408466,LOW_RISK
38.1608,27.845,1,OTHER,13,0.7679251164349371,0.07655022099419584,0.05878483737008801,LOW_RISK
38.1608,27.875,1,OTHER,13,0.7615505494282474,0.07612311454927201,0.05797159970918751,LOW_RISK
38.1608,27.905,1,OTHER,13,0.7550567371992006,0.0756981957709103,0.057156432710649865,LOW_RISK
38.1608,27.935,1,OTHER,13,0.7484444926205042,0.07527545562996008,0.05633950019574274,LOW_RISK
38.1608,27.965,1,OTHER,13,0.7417148098255851,0.07485488511009097,0.05552097687394715,LOW_RISK
38.1608,27.995,1,OTHER,13,0.734868868571494,0.0744364752080835,0.05470104831661438,LOW_RISK
38.1608,28.025,1,OTHER,13,0.7279080381456517,0.07402021693411343,0.053879910891626054,LOW_RISK
38.1608,28.055,1,OTHER,13,0.7208338807746963,0.07360610131203471,0.053057771657449446,LOW_RISK
38.1608,28.085,1,OTHER,13,0.713648154494712,0.07319411937965492,0.052234848215156365,LOW_RISK
38.1608,28.115,1,OTHER,13,0.7063528154433211,0.0727842621890109,0.05141136851717271,LOW_RISK
38.1608,28.145,1,OTHER,13,0.698950019536029,0.07237652080663548,0.05058757063174767,LOW_RISK
38.1608,28.175,1,OTHER,20,0.5427336646812816,0.11580113644244838,0.06284917515566711,LOW_RISK
38.1608,28.205,1,OTHER,21,0.5145870300094842,0.09007591220273437,0.04635189613580014,LOW_RISK
38.1608,28.235,1,OTHER,20,0.525100597406867,0.11456643770654118,0.060158904882481386,LOW_RISK
38.1608,28.265,1,OTHER,23,0.392843879636093,0.13669875087572492,0.05370126763542755,SAFE_BURNABLE
38.1608,28.295,1,OTHER,21,0.4880187751581147,0.08859751784221137,0.043237252139405206,SAFE_BURNABLE
38.1608,28.325,1,OTHER,21,0.4791703139166113,0.08810960778614252,0.04221950842195541,SAFE_BURNABLE
38.1608,28.355,1,OTHER,21,0.47033490300803654,0.08762412634216898,0.04121268496430799,SAFE_BURNABLE
38.1608,28.385,1,OTHER,12,0.6026999697500812,0.05206919525164877,0.03138210240307979,LOW_RISK
38.1808,26.285,0,NO_DATA,-128,0.08857204706529306,0.1641643626336028,0.014540373653627304,SAFE_UNBURNABLE
38.1808,26.315,0,NO_DATA,-128,0.08575304302764954,0.16333488224571713,0.014006463185133051,SAFE_UNBURNABLE
38.1808,26.345,0,NO_DATA,-128,0.08301558804678533,0.16250877813750475,0.013490761779849527,SAFE_UNBURNABLE
38.1808,26.375,0,NO_DATA,-128,0.08035783873542751,0.1616860448004216,0.012992741113841386,SAFE_UNBURNABLE
38.1808,26.405,0,NO_DATA,-128,0.0777779603324535,0.16086667664760657,0.012511881995111168,SAFE_UNBURNABLE
38.1808,26.435,0,NO_DATA,-128,0.0752741291131902,0.16005066801483736,0.012047674648801208,SAFE_UNBURNABLE
38.1808,26.465,0,NO_DATA,-128,0.07284453461959879,0.15923801316147934,0.01159961896249751,SAFE_UNBURNABLE
38.1808,26.495,1,OTHER,28,0.8160033595594752,0.2180736921693568,0.17794886544173397,LOW_RISK
38.1808,26.525,1,OTHER,29,0.8771563981937452,0.28710023578426525,0.2518318087411011,LOW_RISK
38.1808,26.555,1,OTHER,28,0.8051243594038202,0.21601494382311714,0.1739188932672394,LOW_RISK
